00GE               20131205                                                                                   
0601GEA0N       20140101000000000000225000 0000000000000000   
0601GEA0N       20140101000225005000005000 0000000000000007   
0601GEA0N       20140101000230005000005000 0000000000000032   
0601GEA0N       20140101000235005000005000 0000000000000066   
0601GEA0N       20140101000240005000005000 0000000000000090   
0601GEA0N       20140101000245005000005000 0000000000000113   
0601GEA0N       20140101000250005000005000 0000000000000136   
0601GEA0N       20140101000255005000005000 0000000000000157   
0601GEA0N       20140101000260005000005000 0000000000000178   
0601GEA0N       20140101000265005000005000 0000000000000201   
0601GEA0N       20140101000270005000005000 0000000000000222   
0601GEA0N       20140101000275005000005000 0000000000000244   
0601GEA0N       20140101000280005000005000 0000000000000264   
0601GEA0N       20140101000285005000005000 0000000000000286   
0601GEA0N       20140101000290005000005000 0000000000000307   
0601GEA0N       20140101000295005000005000 0000000000000328   
0601GEA0N       20140101000300005000005000 0000000000000348   
0601GEA0N       20140101000305005000005000 0000000000000369   
0601GEA0N       20140101000310005000005000 0000000000000390   
0601GEA0N       20140101000315005000005000 0000000000000410   
0601GEA0N       20140101000320005000005000 0000000000000430   
0601GEA0N       20140101000325005000005000 0000000000000450   
0601GEA0N       20140101000330005000005000 0000000000000471   
0601GEA0N       20140101000335005000005000 0000000000000491   
0601GEA0N       20140101000340005000005000 0000000000000511   
0601GEA0N       20140101000345005000005000 0000000000000530   
0601GEA0N       20140101000350005000005000 0000000000000548   
0601GEA0N       20140101000355005000005000 0000000000000566   
0601GEA0N       20140101000360005000005000 0000000000000584   
0601GEA0N       20140101000365005000005000 0000000000000601   
0601GEA0N       20140101000370005000005000 0000000000000617   
0601GEA0N       20140101000375005000005000 0000000000000634   
0601GEA0N       20140101000380005000005000 0000000000000651   
0601GEA0N       20140101000385005000005000 0000000000000669   
0601GEA0N       20140101000390005000005000 0000000000000685   
0601GEA0N       20140101000395005000005000 0000000000000702   
0601GEA0N       20140101000400005000005000 0000000000000718   
0601GEA0N       20140101000405005000005000 0000000000000733   
0601GEA0N       20140101000410005000005000 0000000000000749   
0601GEA0N       20140101000415005000005000 0000000000000763   
0601GEA0N       20140101000420005000005000 0000000000000779   
0601GEA0N       20140101000425005000005000 0000000000000795   
0601GEA0N       20140101000430005000005000 0000000000000810   
0601GEA0N       20140101000435005000005000 0000000000000825   
0601GEA0N       20140101000440005000005000 0000000000000840   
0601GEA0N       20140101000445005000005000 0000000000000855   
0601GEA0N       20140101000450005000005000 0000000000000869   
0601GEA0N       20140101000455005000005000 0000000000000883   
0601GEA0N       20140101000460005000005000 0000000000000896   
0601GEA0N       20140101000465005000005000 0000000000000910   
0601GEA0N       20140101000470005000005000 0000000000000925   
0601GEA0N       20140101000475005000005000 0000000000000940   
0601GEA0N       20140101000480005000005000 0000000000000955   
0601GEA0N       20140101000485005000005000 0000000000000969   
0601GEA0N       20140101000490005000005000 0000000000000983   
0601GEA0N       20140101000495005000005000 0000000000000997   
0601GEA0N       20140101000500005000005000 0000000000001011   
0601GEA0N       20140101000505005000005000 0000000000001025   
0601GEA0N       20140101000510005000005000 0000000000001039   
0601GEA0N       20140101000515005000005000 0000000000001052   
0601GEA0N       20140101000520005000005000 0000000000001065   
0601GEA0N       20140101000525005000005000 0000000000001079   
0601GEA0N       20140101000530005000005000 0000000000001091   
